=== INTRODUCTION - STATUT DE L'ECONOMIE ===

QCM || Trois arguments faisant penser que l'économie est une science || V:On parle de sciences économiques, prix Nobel depuis 1969, modélisation mathématique|Seulement le prix Nobel|Uniquement la modélisation|Seulement le nom "sciences économiques"

QCM || Prix Nobel d'économie vrai nom || Prix Nobel d'économie|V:Prix de la banque de Suède en sciences économiques en mémoire d'Alfred Nobel|Prix Nobel de la paix économique|Prix européen d'économie

VF || Le "prix Nobel d'économie" fait partie des prix créés par Alfred Nobel. || F || Prix financé par la Banque de Suède en mémoire d'Alfred Nobel, distinct des prix originels.

QCM || Différence économie vs sciences naturelles || Même méthode|V:En économie on peut revenir aux théories passées, pas en sciences naturelles|Économie plus rigoureuse|Aucune différence

QCM || Connaissances en économie vs sciences naturelles || V:Connaissances passées continuent d'influencer le futur en économie|Remplacement systématique comme en sciences|Évolution identique|Pas d'évolution

QCM || Histoire sciences naturelles selon le cours || Utile pour pratique actuelle|V:Musée de théories dépassées|Guide pour recherche|Base théorique

QCM || Quel est l'ouvrage principal de Thomas Kuhn ? || V:La structure des révolutions scientifiques|L'origine des espèces|Théorie générale|Principes d'économie

QCM || Quel concept clé associe-t-on à Kuhn ? || Révolution|V:Paradigme|Évolution|Progrès

QCM || Qu'entend-on par « paradigme » chez Kuhn ? || Théorie isolée|V:Modèle commun, cadre d'analyse d'une communauté scientifique|Méthode unique|Outil mathématique

QCM || Caractéristique communauté scientifique Kuhn || Désaccord permanent|V:Cohésion, consensus autour principes base et méthodes|Individualisme|Compétition

QCM || Révolution scientifique Kuhn || Évolution lente|V:Changement de paradigme face aux anomalies|Amélioration continue|Retour en arrière

QCM || Analogie construction puzzle Kuhn || V:Science normale résout problèmes dans cadre établi|Science révolutionnaire|Création de nouveaux puzzles|Destruction paradigmes

QR || La révolution keynésienne met surtout en avant : || V:La demande effective|La neutralité de la monnaie|La loi de Say|La valeur-travail || Accent sur la demande globale et le rôle stabilisateur de l'État.

QCM || Paradigme avant Keynes || Keynésien|V:Classique - marché et non-intervention État|Marginaliste|Marxiste

QCM || Position Keynes sur rôle État || État ne doit pas intervenir|V:État doit jouer un rôle dans l'économie|État doit tout contrôler|État inexistant

QCM || Cohésion économistes selon cours || V:N'a jamais véritablement existé autour d'un paradigme|Parfaite cohésion|Cohésion temporaire|Cohésion croissante

QCM || Coexistence en économie || Un seul paradigme|V:Coexistence d'écoles de pensées qui dominent une période|Chaos théorique|Uniformité

QCM || Quelle est la nationalité de Karl Popper ? || Américain|Français|Allemand|V:Britannique

QCM || Selon Popper, quel est le critère de démarcation d'une proposition scientifique ? || Une seule condition|V:Cohérence logique ET testabilité|Seulement cohérence|Seulement testabilité

QCM || Pour Popper, une proposition scientifique est-elle réfutable ? || Toujours vraie|V:Réfutable par événement concevable|Irréfutable|Évidente

QCM || Exemple tous cygnes blancs || V:Rentre dans champ science (cohérent et testable)|Non scientifique|Partiellement scientifique|Impossible à déterminer

QCM || Transitivité microéconomie exemple || Pierre papier ciseaux|V:A>B, B>C donc A>C sauf pierre-feuille-ciseaux|A=B=C|Aucun ordre

QCM || Problème propositions économiques || Toujours testables|V:Nombreuses propositions non testables par nature|Facilement testables|Testabilité parfaite

QCM || Concurrence pure parfaite réalité || Correspond parfaitement|V:Aucune hypothèse ne correspond à la réalité|Partiellement réaliste|Proche réalité

QCM || Lois tendancielles caractéristique || Absolues|V:Évolution variable sauf si facteurs l'empêchent|Précises|Immuables

QCM || Expérimentation économie vs laboratoire || Identique|V:Très difficile conditions pratiques|Plus facile|Impossible

QCM || Validation théories économiques || Facilement validées|V:Très difficile d'infirmer en économie|Systématiquement validées|Rapidement invalidées

QCM || Coexistence paradigmes économie || Impossible|V:Fragilité expérimentation explique coexistence possible|Temporaire seulement|Inadmissible

QCM || Chômage paradigme libéral/classique || Insuffisance demande|V:Salaires trop élevés par rapport productivité|Manque formation|Problème technologique

QCM || Chômage paradigme keynésien || Salaires trop élevés|V:Insuffisance de la demande|Surproduction|Problème offre

DragMatch || Associez chaque auteur à l'idée centrale de son apport || Adam Smith:Main invisible et rôle de la concurrence, David Ricardo:Rente différentielle et terres de qualité, Thomas Malthus:Population géométrique et rendements décroissants, Karl Marx:Plus-value et travail abstrait, Carl Menger:Utilité marginale subjective, William Jevons:Utilité marginale mesurable, Léon Walras:Équilibre général et tâtonnement, Alfred Marshall:Équilibre partiel et productivité marginale, Vilfredo Pareto:Optimum de Pareto || Cartographier les apports sans retenir des dates.

=== ECOLE CLASSIQUE - VALEUR TRAVAIL ===

QCM || L'école classique apparaît principalement à quelle période ? || XVIIe siècle|V:XVIIIe siècle|XIXe siècle|XXe siècle

