### Banque de Questions Supplémentaires - Institutions Économiques
### Questions approfondies et nouvelles thématiques

### === THÉORIE INSTITUTIONNELLE AVANCÉE ===

QCM || Selon la théorie des jeux et les institutions, quel concept explique pourquoi certaines règles persistent ? || V:L'équilibre de Nash|La destruction créatrice|Le principe de Pareto|La main invisible
QCM || Le concept de "path dependence" dans l'évolution institutionnelle signifie que || V:Les choix passés contraignent les évolutions futures|Toutes les institutions convergent vers l'efficacité|Les institutions peuvent changer instantanément|La géographie détermine tout
QCM || Selon North, quels sont les deux types d'institutions ? || V:Formelles (lois, règlements)|V:Informelles (normes, conventions)|Publiques et privées|Nationales et internationales
QCM || L'efficacité adaptative d'une société selon North dépend de || V:Sa capacité d'apprentissage institutionnel|Son niveau de PIB|Sa taille démographique|Ses ressources naturelles

### === GOUVERNANCE D'ENTREPRISE ===

QCM || Le problème d'agence principal-agent dans les entreprises concerne || V:La divergence d'intérêts entre dirigeants et actionnaires|La concurrence entre firmes|Les asymétries de prix|Les coûts de production
QCM || Quels mécanismes de gouvernance limitent les problèmes d'agence ? || V:Conseil d'administration indépendant|V:Rémunération liée à la performance|Augmentation des salaires|V:Marché des prises de contrôle
QCM || La théorie de l'enracinement des dirigeants explique || V:Pourquoi les dirigeants cherchent à se rendre indispensables|La stratégie de diversification|L'internationalisation des firmes|Les fusions-acquisitions
QCM || Le concept de "shareholder value" privilégie || V:La maximisation de la valeur pour les actionnaires|L'intérêt des salariés|La responsabilité sociale|L'environnement

### === INSTITUTIONS FINANCIÈRES ===

QCM || Quel rôle jouent les agences de notation dans l'économie mondiale ? || V:Évaluer le risque de crédit des émetteurs|Fixer les taux d'intérêt|Réguler les banques|Gérer les devises
QCM || La supervision bancaire macro-prudentielle vise à || V:Prévenir les risques systémiques|Maximiser les profits bancaires|Réduire la concurrence|Éliminer les banques centrales
