
QCM || Le Fond Monétaire International : || a été créé en juillet 1954|V:regroupe 189 pays|assure la croissance économique mondiale|V:conditionne l’obtention de ses prêts économiques à des garanties financières
QCM || Les ressources du Fond Monétaire Internationale || comprennent de panier de devises|financent des projets de développement économiques|V:comprennent les quotes-parts des pays membres|sont constituées de stock d’or et de bronze
QCM || La banque mondiale : || V:est une institution internationale créée le 27 décembre 1944|est un groupe qui réunit six autres institutions|a son siège à New York|V:a pour rôle principal de lutter contre la pauvreté
QCM || Les institutions de réflexion ou thinks tanks : || V:influencent les décideurs politiques|apparaissent entre la fin du 20ème siècle|sont de conception française|V:se financent sur la base de ressources privées
QCM || Le lobbying : || recouvre des activités multiples d’influence culturelle|concerne seulement les entreprises|regroupe les partis politiques|V:renvoie à tout processus d’influence, formel ou informel, initié par un acteur, privé ou public, auprès d’une institution publique
QCM || Le paradoxe de Madison : || V:montre que l’interdiction des lobbies (et du lobbying) serait contraire aux principes républicains|cherche à renforcer le poids de certains lobbies|veut combattre les dérives du lobbying en encourageant leur généralisation|généralise la pratique du lobbying en Europe
QCM || Les institutions : || V:forment l’ensemble des règles formelles et informelles régissant les comportements des individus et des organisations|représentent des organisations politique, économique, sociale ou religieuse|se confondent avec les organisations|sont dépendantes des organisations et s’influencent mutuellement
QCM || La gouvernance économique : || V:occupe une place de choix dans l’analyse méthodique des politiques publiques, de la gestion, de la sociologie des organisations et des associations culturelles|V:comprend les relations internationales, les régulations économiques et le rapport aux pouvoirs locaux|est un concept remis en avant par le FMI dans les années 1990|est un concept remis en avant par la Banque mondiale dans les années 2000
QCM || L’Organisation mondiale du commerce a succédé : || au FMI|V:au GATT|à Bretton Woods|à l’OCDE
QCM || L’INSEE : || a été créé par la loi de finances du 27 avril 1948|V:est un organisme exclusivement de statistiques nationales|est un outil au service de la comptabilité analytique|V:a déménagé une partie de ses locaux à Metz depuis 2011
QCM || L’INSEE gère : || la base des répertoires des personnes morales (BRPM)|V:le répertoire national d’identification des personnes physiques (RNIPP) appelé communément numéro de sécurité sociale|le fichier général des grands électeurs (FGE)|la base de données des professions juridiques (BDPJ)
QCM || Les normes IFRS : || V:s’appliquent aux sociétés cotées pour leurs comptes consolidés (états financiers des groupes d’entreprises)|comprennent les normes de comptabilité nationale|s’appuient sur les normes de comptabilité européenne|rendent nécessaire l’intervention d’une entité étatique
QCM || Les principes de la comptabilité française reposent : || le coût marginal|la fréquence des méthodes|V:image sincère|V:indépendance des exercices
QCM || Les normes comptables internationales IFRS reposent sur les principes suivants : || V:pertinence|rationalité|prévisibilité|intégrité
QCM || L’Organisation mondiale du commerce a pour mission : || de servir de cadre aux négociations politiques|de veiller à la mise en œuvre des accords de Paris|V:d’administrer les procédures de règlement des différends des conflits commerciaux|de coopérer avec l’ONU
